id,block,trial,set_size,stim,iteration,correct_resp,resp,correct,rt,reward
1,2,60,6,1,11,0,0,1,0.541551526170224,1
1,2,61,6,5,10,2,1,0,0.533275634050369,0
1,2,62,6,2,11,1,0,0,0.733649326022714,0
1,2,63,6,5,11,2,2,1,0.853781148092821,1
1,2,64,6,3,11,1,1,1,0.728684738976881,1
1,2,65,6,4,11,2,2,1,0.59254920296371,1
1,2,66,6,4,12,2,2,1,0.374239454977214,1
1,2,67,6,5,12,2,2,1,0.564832553965971,1
1,2,68,6,0,11,0,0,1,0.499726278008893,1
1,2,69,6,3,12,1,1,1,0.589447539998218,1
1,2,70,6,0,12,0,0,1,0.547254353994504,1
1,2,71,6,1,12,0,0,1,0.675277667818591,1
1,2,72,6,2,12,1,1,1,1.36576074780896,1
1,2,73,6,0,13,0,0,1,0.436481788055971,1
1,2,74,6,4,13,2,2,1,0.672451527090743,1
1,2,75,6,3,13,1,1,1,0.515773148043081,1
1,2,76,6,2,13,1,0,0,0.780204332899302,0
1,2,77,6,2,14,1,1,1,0.570533975027502,1
1,2,78,6,5,13,2,2,1,1.00096801505424,1
1,3,1,3,0,1,0,2,0,0.563259839080274,0
1,3,2,3,1,1,2,2,1,0.698597850045189,1
1,3,3,3,2,1,2,1,0,0.572021441999823,0
1,3,4,3,0,2,0,0,1,0.650694035924971,1
1,3,5,3,2,2,2,1,0,0.501780521124601,0
1,3,6,3,1,2,2,2,1,0.695878165075555,1
1,3,7,3,1,3,2,2,1,0.66437100386247006,1
1,3,8,3,2,3,2,0,0,0.603111658012494,0
1,3,9,3,0,3,0,0,1,0.70506855705753,1
1,3,10,3,0,4,0,0,1,0.594081231858581,1
1,3,11,3,1,4,2,2,1,0.408402426866814,1
1,3,12,3,2,4,2,2,1,0.365726052084938,1
1,3,13,3,0,5,0,0,1,0.636428088182583,1
1,3,14,3,2,5,2,2,1,0.615945141995326,1
1,3,15,3,1,5,2,2,1,0.508914963109419,1
1,3,16,3,1,6,2,2,1,0.589811675949022,1
1,3,17,3,2,6,2,2,1,0.819866277044639,1
1,3,18,3,0,6,0,0,1,0.51301393401809,1
1,3,19,3,2,7,2,2,1,0.370030110934749,1
1,3,20,3,1,7,2,2,1,0.600046151084825,1
1,3,21,3,0,7,0,0,1,0.461725970963016,1
1,3,22,3,0,8,0,0,1,0.48106901301071,1
1,3,23,3,2,8,2,2,1,0.498567386996001,1
1,3,24,3,1,8,2,2,1,0.53259299788624,1
1,3,25,3,1,9,2,2,1,0.556421902962029,1
1,3,26,3,2,9,2,2,1,0.628202718915418,1
1,3,27,3,0,9,0,0,1,0.535800370154902,1
1,3,28,3,2,10,2,2,1,0.543840043013915,1
1,3,29,3,0,10,0,0,1,0.534922527847812,1
1,3,30,3,1,10,2,2,1,0.559345036046579,1
1,3,31,3,1,11,2,2,1,0.525354898069054,1
1,3,32,3,2,11,2,2,1,0.526404852047563,1
1,3,33,3,1,12,2,2,1,0.565936884144321,1
1,3,34,3,0,11,0,0,1,0.533154101110995,1
1,3,35,3,2,12,2,2,1,0.453274169005454,1
1,3,36,3,0,12,0,0,1,0.408566675148904,1
1,3,37,3,0,13,0,2,0,0.270332886138931,0
1,3,38,3,1,13,2,2,1,0.409065985120833,1
1,3,39,3,2,13,2,2,1,0.485562908928841,1
1,4,1,3,0,1,1,0,0,0.612997859017923,0
1,4,2,3,1,1,1,2,0,0.610000361921266,0
1,4,3,3,2,1,0,1,0,0.543006620137021,0
1,4,4,3,0,2,1,2,0,0.5034649760928,0
1,4,5,3,2,2,0,1,0,0.560883224010468,0
1,4,6,3,1,2,1,0,0,0.512369117001072,0
1,4,7,3,1,3,1,1,1,0.729230843950063,1
1,4,8,3,2,3,0,2,0,0.681282344972715,0
1,4,9,3,0,3,1,0,0,0.667413131799549,0
1,4,10,3,0,4,1,2,0,0.56628970708698,0
1,4,11,3,1,4,1,1,1,0.629082165891305,1
1,4,12,3,2,4,0,0,1,0.71292771701701,1
1,4,13,3,0,5,1,1,1,0.345957851968706,1
1,4,14,3,2,5,0,0,1,0.44863099604845,1
1,4,15,3,1,5,1,1,1,0.484417566796765,1
1,4,16,3,1,6,1,1,1,0.367188411997631,1
1,4,17,3,2,6,0,0,1,0.390050621936098,1
1,4,18,3,0,6,1,1,1,0.459852749947459,1
1,4,19,3,2,7,0,0,1,0.407120344927534,1
1,4,20,3,1,7,1,1,1,0.373154937988147,1
1,4,21,3,0,7,1,1,1,0.25208538887091,1
1,4,22,3,0,8,1,1,1,0.383225379977375,1
1,4,23,3,2,8,0,0,1,0.357651758939028,1
1,4,24,3,1,8,1,1,1,0.380642889998853,1
1,4,25,3,1,9,1,1,1,0.283189615001902,1
1,4,26,3,2,9,0,0,1,0.301651472924277,1
1,4,27,3,0,9,1,1,1,0.415070797782391,1
1,4,28,3,2,10,0,0,1,0.299803110072389,1
1,4,29,3,0,10,1,1,1,0.541181114967912,1
1,4,30,3,1,10,1,1,1,0.309473809087649,1
1,4,31,3,1,11,1,1,1,0.390539648011327,1
1,4,32,3,2,11,0,0,1,0.301367918029428,1
1,4,33,3,1,12,1,1,1,0.33487698296085,1
1,4,34,3,0,11,1,1,1,0.711326838005334,1
1,4,35,3,2,12,0,0,1,0.30405038013123,1
1,4,36,3,0,12,1,1,1,0.505936206085607,1
1,4,37,3,0,13,1,1,1,0.355315129039809,1
1,4,38,3,1,13,1,1,1,0.474345562048256,1
1,4,39,3,2,13,0,0,1,0.406057487009093,1
1,5,1,6,0,1,1,2,0,0.329979886999354,0
1,5,2,6,1,1,1,2,0,0.578221624018624,0
1,5,3,6,2,1,2,2,1,0.496981852920726,1
1,5,4,6,3,1,2,2,1,0.546262060990557,1
1,5,5,6,4,1,0,2,0,0.514224420068786,0
1,5,6,6,5,1,0,2,0,0.426636147079989,0
1,5,7,6,1,2,1,1,1,0.727854633005336,1
1,5,8,6,5,2,0,1,0,0.584347941912711,0
1,5,9,6,4,2,0,1,0,0.590371294878423,0
1,5,10,6,2,2,2,1,0,0.588321449002251,0
1,5,11,6,0,2,1,0,0,0.650798697955906,0
1,5,12,6,3,2,2,2,1,0.598196611972526,1
1,5,13,6,3,3,2,2,1,0.443512386875227,1
1,5,14,6,0,3,1,0,0,0.759448734112084,0
1,5,15,6,4,3,0,1,0,0.67054578801617,0
1,5,16,6,1,3,1,0,0,0.937702786177397,0
1,5,17,6,5,3,0,1,0,0.689727538032457,0
1,5,18,6,2,3,2,0,0,0.827784592984244,0
1,5,19,6,0,4,1,1,1,1.12057194416411,1
1,5,20,6,1,4,1,0,0,1.23303346103057,0
1,5,21,6,2,4,2,-2,-1,-1,0
1,5,22,6,3,4,2,2,1,0.566461800131947,1
1,5,23,6,4,4,0,1,0,0.892431635176763,0
1,5,24,6,5,4,0,1,0,0.670908154919744,0
1,5,25,6,0,5,1,1,1,0.85725250095129,1
1,5,26,6,3,5,2,2,1,0.564794623991475,1
1,5,27,6,1,5,1,1,1,0.908027821918949,1
1,5,28,6,4,5,0,1,0,0.91673235502094,0
1,5,29,6,2,5,2,2,1,0.766217831056565,1
1,5,30,6,5,5,0,1,0,1.01298729097471,0
1,5,31,6,4,6,0,2,0,0.601264627883211,0
1,5,32,6,5,6,0,2,0,0.622668131953105,0
1,5,33,6,0,6,1,1,1,0.627532603917643,1
1,5,34,6,2,6,2,2,1,1.0081724668853,1
1,5,35,6,3,6,2,2,1,0.533049942925572,1
1,5,36,6,1,6,1,1,1,1.085866011912,1
1,5,37,6,1,7,1,1,1,0.464050595881417,1
1,5,38,6,2,7,2,2,1,0.682669597910717,1
1,5,39,6,5,7,0,0,1,1.00485295290127,1
1,5,40,6,4,7,0,0,1,0.738195063080639,1
1,5,41,6,4,8,0,0,1,0.434220239054412,1
1,5,42,6,5,8,0,0,1,0.50188367604278,1
1,5,43,6,0,7,1,1,1,0.799029748886824,1
1,5,44,6,2,8,2,2,1,0.717133556026965,1
1,5,45,6,3,7,2,2,1,0.430038712918758,1
1,5,46,6,2,9,2,2,1,1.3617685190402,1
1,5,47,6,0,8,1,1,1,0.561283974908292,1
1,5,48,6,1,8,1,1,1,0.967951686121523,1
1,5,49,6,1,9,1,1,1,0.463144266046584,1
1,5,50,6,3,8,2,2,1,0.489900313084945,1
1,5,51,6,4,9,0,0,1,0.540047792950645,1
1,5,52,6,3,9,2,2,1,0.468368441099301,1
1,5,53,6,5,9,0,0,1,0.486807888140902,1
1,5,54,6,0,9,1,1,1,0.705271655926481,1
1,5,55,6,3,10,2,2,1,0.40267422911711,1
1,5,56,6,2,10,2,0,0,1.19173775380477,0
1,5,57,6,1,10,1,1,1,0.757939125178382,1
1,5,58,6,4,10,0,2,0,1.11720300582238,0
1,5,59,6,0,10,1,1,1,0.614428757922724,1
1,5,60,6,1,11,1,1,1,0.674969776067883,1
1,5,61,6,5,10,0,0,1,0.485540485940874,1
1,5,62,6,2,11,2,1,0,0.855650149984285,0
1,5,63,6,5,11,0,0,1,0.611010152846575,1
1,5,64,6,3,11,2,2,1,0.432502686977386,1
1,5,65,6,4,11,0,0,1,0.66126561886631,1
1,5,66,6,4,12,0,0,1,0.544444165192544,1
1,5,67,6,5,12,0,0,1,0.520670410012826,1
1,5,68,6,0,11,1,1,1,0.497486829059198,1
1,5,69,6,3,12,2,2,1,0.322347745066509,1
1,5,70,6,0,12,1,1,1,0.419334251899272,1
1,5,71,6,1,12,1,1,1,0.848126990022138,1
1,5,72,6,2,12,2,2,1,0.899321708129719,1
1,5,73,6,0,13,1,1,1,0.781384517904371,1
1,5,74,6,4,13,0,0,1,0.498725953046232,1
1,5,75,6,3,13,2,2,1,0.44487351202406,1
1,5,76,6,2,13,2,1,0,0.976493997033685,0
1,5,77,6,2,14,2,2,1,0.647111742058769,1
1,5,78,6,5,13,0,0,1,0.522853091126308,1
1,6,1,3,0,1,2,2,1,1.39945773989893,1
1,6,2,3,1,1,1,0,0,0.676524766022339,0
1,6,3,3,2,1,2,0,0,0.719225906068459,0
1,6,4,3,0,2,2,2,1,1.03960017091595,1
1,6,5,3,2,2,2,1,0,0.492101463023573,0
1,6,6,3,1,2,1,2,0,0.645235182950273,0
1,6,7,3,1,3,1,1,1,0.713302319170907,1
1,6,8,3,2,3,2,2,1,0.385821520118043,1
1,6,9,3,0,3,2,2,1,0.320245919050649,1
1,6,10,3,0,4,2,2,1,0.44109186087735,1
1,6,11,3,1,4,1,1,1,0.477122968994081,1
1,6,12,3,2,4,2,2,1,0.304242342943326,1
1,6,13,3,0,5,2,2,1,0.321788533125073,1
1,6,14,3,2,5,2,2,1,0.385911382036284,1
1,6,15,3,1,5,1,1,1,0.392460668925196,1
1,6,16,3,1,6,1,1,1,0.486544162966311,1
1,6,17,3,2,6,2,2,1,0.704573119059205,1
1,6,18,3,0,6,2,2,1,0.258676833938807,1
1,6,19,3,2,7,2,2,1,0.501551341963932,1
1,6,20,3,1,7,1,1,1,0.36730840918608,1
1,6,21,3,0,7,2,2,1,0.494409216102213,1
1,6,22,3,0,8,2,2,1,0.264478855999187,1
1,6,23,3,2,8,2,2,1,0.411106474930421,1
1,6,24,3,1,8,1,1,1,0.280559854116291,1
1,6,25,3,1,9,1,1,1,0.554894058033824,1
1,6,26,3,2,9,2,2,1,0.394855555146933,1
1,6,27,3,0,9,2,2,1,0.352702393196523,1
1,6,28,3,2,10,2,2,1,0.424454110208899,1
1,6,29,3,0,10,2,2,1,0.612482470925897,1
1,6,30,3,1,10,1,1,1,0.401434018975124,1
1,6,31,3,1,11,1,2,0,0.382233108161017,0
1,6,32,3,2,11,2,2,1,0.38912314013578,1
1,6,33,3,1,12,1,1,1,0.426591105991974,1
1,6,34,3,0,11,2,2,1,0.519882975844666,1
1,6,35,3,2,12,2,2,1,0.448915463872254,1
1,6,36,3,0,12,2,2,1,0.428206417011097,1
1,6,37,3,0,13,2,2,1,0.40844958787784,1
1,6,38,3,1,13,1,1,1,0.302730577997863,1
1,6,39,3,2,13,2,2,1,0.24845599103719,1
