,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2283,12,4,91,ACE,3.893,22,32,42,E,42,easy,low,3,6
2284,12,4,92,DEF,1.409,44,41,54,F,54,hard,high,3,5
2285,12,4,93,ACE,0.928,24,41,42,E,42,easy,low,3,3
2286,12,4,94,BDF,7.456,39,30,50,F,50,easy,high,3,6
2287,12,4,95,ABC,1.363,30,29,39,C,39,hard,low,3,4
2288,12,4,96,ACE,0.767,38,38,46,E,46,easy,low,3,2
2289,12,4,97,DEF,0.58,45,42,46,E,42,hard,high,2,2
2290,12,4,98,BDF,1.246,22,46,59,F,59,easy,high,3,4
2291,12,4,99,DEF,1.581,49,40,47,F,47,hard,high,3,5
2292,12,4,100,ABC,1.639,33,29,35,C,35,hard,low,3,5
2293,12,4,101,BDF,1.15,33,35,48,F,48,easy,high,3,3
2294,12,4,102,ABC,1.644,28,34,42,C,42,hard,low,3,5
2295,12,4,103,ACE,0.76,25,26,47,E,47,easy,low,3,2
2296,12,4,104,DEF,1.207,36,47,44,F,44,hard,high,3,4
2297,12,4,105,ACE,0.96,30,40,41,E,41,easy,low,3,3
2298,12,4,106,BDF,1.031,28,50,52,F,52,easy,high,3,3
2299,12,4,107,ABC,1.08,26,41,33,C,33,hard,low,3,3
2300,12,4,108,DEF,1.57,46,39,57,F,57,hard,high,3,5
2301,12,4,109,ABC,1.041,24,28,38,C,38,hard,low,3,3
2302,12,4,110,BDF,1.428,40,42,49,F,49,easy,high,3,4
2303,12,4,111,ABC,1.487,30,39,43,A,30,hard,low,1,4
2304,12,4,112,DEF,1.396,51,55,45,F,45,hard,high,3,5
2305,12,4,113,BDF,0.792,30,44,43,F,43,easy,high,3,2
2306,12,4,114,ABC,0.901,21,37,38,C,38,hard,low,3,2
2307,12,4,115,DEF,0.596,43,54,40,D,43,hard,high,1,2
2308,12,4,116,BDF,1.066,43,42,60,F,60,easy,high,3,3
2309,12,4,117,ACE,1.335,28,44,37,E,37,easy,low,3,4
2310,12,4,118,ABC,1.225,22,28,46,B,28,hard,low,2,3
2311,12,4,119,DEF,0.847,37,46,42,E,46,hard,high,2,3
2312,12,4,120,ACE,1.102,34,36,56,E,56,easy,low,3,4
2313,12,4,121,ABC,0.811,24,37,42,C,42,hard,low,3,2
2314,12,4,122,ACE,0.859,31,34,52,E,52,easy,low,3,3
2315,12,4,123,BDF,0.846,37,42,48,F,48,easy,high,3,2
2316,12,4,124,DEF,0.776,38,53,46,E,53,hard,high,2,2
2317,12,4,125,BDF,1.648,40,54,57,F,57,easy,high,3,5
2318,12,4,126,ACE,0.884,34,37,41,E,41,easy,low,3,3
