id,trial,block,rt,resp,correct,f_cor,f_inc,cor_option,inc_option,pair_type
1,16,1,1.1717811430544316,3,1,49,40,3,1,2
1,17,1,1.849992046853004,1,1,34,34,1,0,0
1,18,1,1.128029278502254,3,1,60,44,3,2,3
1,19,1,1.7749870462694162,2,1,55,42,2,0,1
1,20,1,1.1277391422481742,2,1,50,35,2,0,1
1,21,1,1.1467662778386511,3,1,47,42,3,1,2
1,22,1,1.2817403942708552,3,1,57,53,3,2,3
1,23,1,1.2635034533041107,3,1,52,44,3,2,3
1,24,1,1.9327703097087576,1,1,42,39,1,0,0
1,25,1,1.300853205390922,3,1,61,37,3,1,2
1,26,1,1.0943714249242475,3,1,49,52,3,2,3
1,27,1,1.5361158196619726,3,1,58,36,3,1,2
1,28,1,1.7259287602846598,1,1,44,37,1,0,0
1,29,1,1.3848066907476095,3,1,54,43,3,1,2
1,30,1,1.4148217983120048,2,1,40,36,2,0,1
1,31,1,1.1082703168767694,2,1,58,35,2,0,1
1,32,1,1.5823208715828514,2,0,54,45,3,2,3
1,33,1,1.2872755113394303,2,1,56,44,2,0,1
1,34,1,1.97574631578118,1,1,39,42,1,0,0
1,35,1,1.8613391051103465,2,0,51,48,3,2,3
1,36,1,1.215496143236123,3,1,51,34,3,1,2
1,37,1,1.4188601536425267,2,1,53,30,2,0,1
1,38,1,1.9263391836184385,1,1,41,37,1,0,0
1,39,1,1.4055872733260912,2,1,50,30,2,0,1
1,40,1,0.9964060651454928,3,1,59,45,3,1,2
1,41,1,1.2394928008661736,3,1,53,50,3,2,3
1,42,1,1.0322494980637202,2,1,48,46,2,0,1
1,43,1,1.6620632852027484,2,0,62,51,3,2,3
1,44,1,2.1063871619144265,1,1,38,34,1,0,0
1,45,1,1.089468122217113,3,1,51,42,3,2,3
1,46,1,1.3533112056084065,3,1,59,45,3,1,2
1,47,1,1.5725743414413955,2,0,48,52,3,2,3
1,48,1,1.4190601769896602,2,1,48,39,2,0,1
1,49,1,1.598911886643691,3,1,56,51,3,2,3
1,50,1,1.0222128316681849,3,1,48,52,3,2,3
1,51,1,1.0835005314611408,2,1,49,34,2,0,1
1,52,1,0.9938238524764528,2,1,49,37,2,0,1
1,53,1,1.116555584303569,2,1,54,33,2,0,1
1,54,1,1.6548941890150672,0,0,38,38,1,0,0
1,55,1,1.253484195083729,0,0,35,31,1,0,0
1,56,1,1.4197930270356665,3,1,56,46,3,1,2
1,57,1,1.8253011102324308,1,1,35,33,1,0,0
1,58,1,1.252672837580576,3,1,54,47,3,1,2
1,59,1,1.3108864584191906,2,1,47,41,2,0,1
1,60,1,1.2594736313931207,1,1,41,40,1,0,0
1,61,1,1.018483727451894,1,1,40,28,1,0,0
1,62,1,1.1256976070244489,3,1,64,50,3,1,2
1,63,1,1.0671853165113134,3,1,55,30,3,1,2
1,64,1,1.3845431787594862,1,1,39,31,1,0,0
1,65,1,1.1424971788510447,3,1,44,48,3,1,2
1,66,1,0.9871312624209168,3,1,53,46,3,1,2
1,67,1,1.741653121285708,2,1,56,38,2,0,1
1,68,1,1.5166995601539384,1,1,38,41,1,0,0
1,69,1,1.7987727577756232,3,1,56,51,3,2,3
1,70,1,1.413965384354924,1,1,41,35,1,0,0
1,71,1,1.3260530751367696,2,1,49,36,2,0,1
1,72,1,2.4049182532562554,3,1,57,40,3,1,2
1,73,1,1.2723096006429842,1,1,43,32,1,0,0
1,74,1,1.3866447892560243,1,1,32,32,1,0,0
1,75,1,1.1905290651675386,3,1,50,54,3,2,3
1,76,1,1.145762406396898,2,1,46,40,2,0,1
1,77,1,1.3021222955030678,3,1,57,60,3,2,3
1,78,1,1.2039944594216652,3,1,52,47,3,2,3
1,79,1,1.0890178990175627,3,1,50,37,3,1,2
1,80,1,1.0144593669301685,3,1,55,42,3,1,2
1,1,2,0.9820412485014458,2,1,44,37,2,0,1
1,2,2,1.2706264690277749,1,0,58,39,3,1,2
1,3,2,1.2599224892455825,3,1,53,53,3,2,3
1,4,2,1.5176665672242962,3,1,61,41,3,1,2
1,5,2,1.6137931458215462,3,1,53,43,3,2,3
1,6,2,1.5211895040310992,2,1,51,31,2,0,1
1,7,2,1.4769768348387515,0,0,43,39,1,0,0
1,8,2,0.933008562773466,3,1,52,35,3,1,2
1,9,2,1.5215246967391067,1,1,38,31,1,0,0
1,10,2,1.7926071916926958,1,1,46,41,1,0,0
1,11,2,1.2151333022484323,1,1,43,32,1,0,0
1,12,2,1.2354213358694324,2,1,49,42,2,0,1
1,13,2,1.4301013975009482,1,1,40,34,1,0,0
1,14,2,1.4358099136479725,3,1,60,42,3,1,2
1,15,2,1.1146813040977577,3,1,59,58,3,2,3
1,16,2,1.1104190318465044,3,1,53,37,3,1,2
1,17,2,1.0623557425478791,3,1,47,46,3,2,3
1,18,2,1.163403714699598,1,1,36,44,1,0,0
1,19,2,1.2624582801136055,1,1,45,35,1,0,0
1,20,2,0.9941952268827664,3,1,58,34,3,1,2
1,21,2,1.0702030748980178,2,0,51,56,3,2,3
1,22,2,1.4474358440475044,1,1,43,36,1,0,0
1,23,2,1.5275144743854985,2,0,55,50,3,2,3
1,24,2,1.545770871548484,3,1,54,55,3,2,3
1,25,2,1.5210604787316695,2,1,48,33,2,0,1
1,26,2,1.290255040007651,1,1,30,40,1,0,0
1,27,2,1.6900836206823442,2,1,53,36,2,0,1
1,28,2,1.117756748399188,3,1,56,50,3,1,2
1,29,2,1.6130527863660973,2,1,47,42,2,0,1
1,30,2,1.2276695778136857,3,1,48,39,3,1,2
1,31,2,1.8120108217408413,2,0,56,52,3,2,3
1,32,2,1.1559885147007662,2,1,44,34,2,0,1
1,33,2,1.0926855626157703,2,1,53,35,2,0,1
1,34,2,2.336632808334798,3,1,44,55,3,2,3
1,35,2,1.070277827650898,2,1,45,37,2,0,1
1,36,2,1.4912750908124508,1,0,62,40,3,1,2
1,37,2,0.9838697895793302,3,1,51,45,3,1,2
1,38,2,2.9751971049172425,3,1,54,56,3,2,3
1,39,2,1.0438378814178575,2,0,52,49,3,2,3
1,40,2,1.218380438946042,1,1,37,26,1,0,0
1,41,2,1.0116819096283507,3,1,55,44,3,1,2
1,42,2,1.6127049641972917,2,0,54,52,3,2,3
1,43,2,1.0858301549187672,1,1,40,40,1,0,0
1,44,2,1.021934983536994,3,1,57,42,3,1,2
1,45,2,1.1502718064703004,1,1,39,32,1,0,0
1,46,2,1.2411861725840936,1,1,41,36,1,0,0
1,47,2,1.0397237493252758,2,0,48,48,3,2,3
1,48,2,0.8887658559460759,2,0,59,51,3,2,3
1,49,2,1.821864190291308,3,1,57,42,3,2,3
1,50,2,1.2899300874023538,2,1,48,29,2,0,1
1,51,2,1.1832917016254214,1,0,52,37,3,1,2
1,52,2,1.0157868256292204,2,1,50,39,2,0,1
1,53,2,1.1371371675468254,2,1,40,30,2,0,1
1,54,2,1.0774452171544908,2,1,60,38,2,0,1
1,55,2,0.9180890738780364,3,1,55,34,3,1,2
1,56,2,1.6542292649864976,2,0,49,49,3,2,3
1,57,2,1.5768318349792023,1,1,46,34,1,0,0
1,58,2,1.262481832350204,2,1,51,39,2,0,1
1,59,2,1.0214274157597174,2,1,46,28,2,0,1
1,60,2,1.0007413834646286,1,1,35,46,1,0,0
1,61,2,0.9735556163896036,2,1,57,37,2,0,1
1,62,2,1.205433876581992,3,1,50,52,3,2,3
1,63,2,0.9980318521820664,2,1,45,36,2,0,1
1,64,2,1.2201031656250052,3,1,56,42,3,1,2
1,65,2,1.2595811524761302,1,1,32,30,1,0,0
1,66,2,1.0747274937893962,3,1,51,41,3,1,2
1,67,2,1.045806370572791,2,1,54,43,2,0,1
1,68,2,1.3635543807495196,3,1,57,44,3,1,2
1,69,2,1.0017449135702918,1,1,38,41,1,0,0
1,70,2,1.2402754860804637,3,1,46,47,3,2,3
1,71,2,1.199654021049355,1,1,40,35,1,0,0
1,72,2,1.4033436667350545,3,1,64,50,3,2,3
1,73,2,1.2438458686983722,1,1,38,38,1,0,0
1,74,2,1.0570831134555192,3,1,49,36,3,1,2
1,75,2,0.8723793016115451,3,1,54,47,3,1,2
1,76,2,1.1015374490807517,2,1,50,33,2,0,1
1,77,2,0.965255330144828,3,1,60,33,3,1,2
1,78,2,1.0126711035900369,2,1,54,38,2,0,1
1,79,2,1.6465153953131448,3,1,50,47,3,2,3
1,80,2,0.962010241468306,1,1,48,33,1,0,0
2,1,0,0.88008029554112,0,0,52,46,2,0,1
2,2,0,1.3946424810656026,3,1,55,40,3,1,2
2,3,0,1.0289004555797874,3,1,49,41,3,1,2
2,4,0,1.195417788377199,0,0,33,32,1,0,0
2,5,0,1.0515848675468078,0,0,42,40,1,0,0
2,6,0,1.055160005693324,0,0,42,35,2,0,1
2,7,0,1.5622667618308697,2,0,54,47,3,2,3
2,8,0,1.3676217548891143,1,0,59,38,3,1,2
2,9,0,1.1369103146862471,0,0,50,39,1,0,0
2,10,0,1.1235941709610415,3,1,58,51,3,2,3
2,11,0,0.9521800526126754,3,1,52,40,3,1,2
2,12,0,1.0910431422980764,2,0,53,46,3,2,3
2,13,0,1.2441589977324838,0,0,39,36,1,0,0
2,14,0,0.8527865017204022,0,0,46,33,1,0,0
2,15,0,1.0244088341478346,3,1,61,37,3,1,2
2,16,0,1.0813287608152675,0,0,48,33,1,0,0
2,17,0,1.1025884423434036,0,0,34,42,1,0,0
2,18,0,1.0758633118939542,3,1,47,53,3,2,3
2,19,0,1.1121942794379718,2,1,50,26,2,0,1
2,20,0,1.138408090721896,0,0,45,41,1,0,0
2,21,0,0.9364482842302096,0,0,47,29,2,0,1
2,22,0,0.8511149863961691,3,1,55,54,3,2,3
2,23,0,1.0912581830689303,2,1,50,43,2,0,1
2,24,0,0.7557447459230389,3,1,56,41,3,1,2
2,25,0,0.7525368837586939,1,0,51,39,3,1,2
2,26,0,0.9897620113069934,3,1,60,43,3,2,3
2,27,0,0.8642877696065625,1,0,52,39,3,1,2
2,28,0,0.7647307194620225,3,1,62,58,3,2,3
2,29,0,1.0579910345068129,0,0,50,35,2,0,1
2,30,0,0.9176858063192412,3,1,48,40,3,1,2
2,31,0,1.006944451554773,2,1,51,38,2,0,1
2,32,0,0.9662932125274892,0,0,36,40,1,0,0
2,33,0,1.10154976128797,1,1,45,30,1,0,0
2,34,0,0.9789857380183092,2,1,55,39,2,0,1
2,35,0,0.6931009800737229,1,0,56,40,3,1,2
2,36,0,1.018977860017003,3,1,53,47,3,2,3
2,37,0,0.9755454270216432,3,1,48,49,3,2,3
2,38,0,0.7400867058040603,2,1,60,36,2,0,1
2,39,0,1.0997529761816622,1,0,54,35,3,1,2
2,40,0,0.7292906351112833,2,0,57,55,3,2,3
2,41,0,0.7310532867622896,3,1,44,45,3,2,3
2,42,0,1.119108352217154,0,0,32,34,1,0,0
2,43,0,1.2747756834623942,1,0,60,43,3,1,2
2,44,0,0.98482085226442,1,1,34,39,1,0,0
2,45,0,1.1136084285062682,3,1,49,43,3,1,2
2,46,0,1.3135055502707471,1,0,54,36,3,1,2
2,47,0,1.00276378590479,0,0,53,30,2,0,1
2,48,0,1.3059009576818426,1,1,43,38,1,0,0
2,49,0,1.1320363985523727,2,1,44,28,2,0,1
2,50,0,1.5366540407012508,1,0,56,30,3,1,2
2,51,0,1.0629195641704428,2,1,46,37,2,0,1
2,52,0,1.0144538118020137,2,0,55,56,3,2,3
2,53,0,0.9474904571397929,2,1,48,31,2,0,1
2,54,0,1.5198443377894364,1,0,53,44,3,1,2
2,55,0,1.0605855184721804,2,1,54,41,2,0,1
2,56,0,1.576100027409666,0,0,41,33,1,0,0
2,57,0,1.11131329494674,1,1,38,36,1,0,0
2,58,0,1.3504126905463636,2,0,58,53,3,2,3
2,59,0,1.3209084141353742,1,1,37,37,1,0,0
2,60,0,1.7177890258890331,1,0,46,44,3,1,2
2,61,0,1.327439850877454,1,1,35,32,1,0,0
2,62,0,1.3574042462696525,2,0,51,40,3,2,3
2,63,0,1.591196572181616,3,1,59,48,3,2,3
2,64,0,1.1398133650918678,3,1,57,52,3,2,3
2,65,0,1.6026425438703882,1,1,47,42,1,0,0
2,66,0,1.1483975878572892,2,1,50,36,2,0,1
2,67,0,1.2336066399129777,2,1,49,34,2,0,1
2,68,0,1.303979585462912,3,1,50,37,3,1,2
2,69,0,1.8047740416432128,3,1,50,52,3,2,3
2,70,0,1.2344845523921322,3,1,64,46,3,1,2
2,71,0,1.2097357490265497,2,1,48,38,2,0,1
2,72,0,1.2495548144042914,2,1,44,31,2,0,1
2,73,0,1.4741918648369392,3,1,51,42,3,1,2
2,74,0,1.4679761625593528,3,1,54,56,3,2,3
2,75,0,1.1039053110634995,2,1,51,44,2,0,1
2,76,0,1.3063187511797878,3,1,52,49,3,2,3
2,77,0,1.1159653436197914,1,1,38,37,1,0,0
2,78,0,1.1633446280939097,2,0,57,57,3,2,3
2,79,0,0.9776227891334202,2,1,45,35,2,0,1
2,1,1,1.6409720252440818,0,0,43,39,1,0,0
2,2,1,1.941464878210354,0,0,49,28,2,0,1
2,3,1,1.1577238719492016,1,1,30,36,1,0,0
2,4,1,1.3379969873813025,1,1,37,39,1,0,0
2,5,1,1.3936727495902232,2,0,55,51,3,2,3
2,6,1,1.3906126852889429,3,1,52,50,3,2,3
2,7,1,1.2387631810606765,3,1,56,43,3,2,3
2,8,1,1.7043462470428494,0,0,51,36,2,0,1
2,9,1,1.7265637133377822,1,1,44,29,1,0,0
2,10,1,1.788947382254264,3,1,52,48,3,2,3
2,11,1,1.6454165425066094,0,0,48,35,1,0,0
2,12,1,1.3599178339454738,3,1,50,33,3,1,2
2,13,1,1.832853246279228,0,0,57,42,2,0,1
2,14,1,2.3129532709581326,0,0,38,35,1,0,0
2,15,1,1.1489304111000822,3,1,54,43,3,1,2
2,16,1,1.022537979442859,3,1,59,45,3,1,2
2,17,1,1.2320392316287323,1,1,40,37,1,0,0
2,18,1,1.068728395655853,1,1,46,46,1,0,0
2,19,1,1.2525496838043182,3,1,54,45,3,2,3
2,20,1,0.9070300241291988,3,1,60,48,3,2,3
2,21,1,1.5327949122038262,2,1,52,26,2,0,1
2,22,1,0.9965897264437444,3,1,50,56,3,2,3
2,23,1,1.2756358465458106,1,1,40,33,1,0,0
2,24,1,1.2490923060804562,1,0,57,36,3,1,2
2,25,1,1.7721998022307162,1,0,54,46,3,1,2
2,26,1,1.8478962015269644,2,1,47,37,2,0,1
2,27,1,1.0601513409164909,3,1,51,56,3,2,3
2,28,1,1.6499064572644784,2,0,55,45,3,2,3
2,29,1,2.2475730259684497,2,1,53,41,2,0,1
2,30,1,1.0916623231842095,3,1,52,42,3,2,3
2,31,1,1.4991707276949455,1,1,32,34,1,0,0
2,32,1,2.0116108362799423,2,1,46,30,2,0,1
2,33,1,1.2441934725220565,1,1,42,38,1,0,0
2,34,1,1.2574020958627443,3,1,61,51,3,2,3
2,35,1,0.9055520454985526,3,1,49,60,3,2,3
2,36,1,1.8869462401489727,2,1,44,32,2,0,1
2,37,1,1.115978655667277,1,0,58,39,3,1,2
2,38,1,1.4764194141534972,2,1,40,40,2,0,1
2,39,1,1.4176982650305945,2,1,54,40,2,0,1
2,40,1,1.1616420513246342,2,1,49,31,2,0,1
2,41,1,1.0800869856984718,3,1,55,50,3,1,2
2,42,1,1.3486954363916084,1,1,40,35,1,0,0
2,43,1,1.0768173419801317,1,1,35,36,1,0,0
2,44,1,1.221432260279471,0,0,34,41,1,0,0
2,45,1,1.4480138936824003,0,0,55,30,2,0,1
2,46,1,1.6576666984101394,1,1,41,38,1,0,0
2,47,1,1.2815829185265102,2,1,46,36,2,0,1
2,48,1,1.1054665753263178,1,1,37,34,1,0,0
2,49,1,1.1754405007786772,3,1,53,41,3,1,2
2,50,1,1.5453413465029369,2,1,53,39,2,0,1
